ticker,month,timeframe,roi,tp_hits,sl_hits,spacing
LINK-USD,2025-08,4h,0.31278541327625137,34,11,0.028089532248558695
XLM-USD,2025-08,4h,-0.650966337890004,14,14,0.020781585988975424
XAUt-USD,2025-08,4h,0.18212324636640914,1,0,0.015
BGB-USD,2025-08,4h,-0.2167472517119859,6,3,0.022405886122389286
PAXG-USD,2025-08,4h,0.18257561982869447,1,0,0.015
AAVE-USD,2025-08,4h,0.3139528158787653,25,7,0.028544924270686913
OKB-USD,2025-08,4h,0.225491084658388,35,10,0.03432896670861124
ONDO-USD,2025-08,4h,0.11494440812577522,18,10,0.023531743727255004
USDD-USD,2025-08,4h,-0.0006074447990977206,0,0,0.015
BNB-USD,2025-09,4h,0.15892237278036192,11,3,0.024645916981939704
XRP-USD,2025-09,4h,0.007406437474110135,5,4,0.020890449083627628
SOL-USD,2025-09,4h,0.039589800923422444,15,7,0.02441802137948757
TRX-USD,2025-09,4h,-0.09189497659846893,3,4,0.015
DOGE-USD,2025-09,4h,0.12394331289140609,18,6,0.029039506284528508
BCH-USD,2025-09,4h,0.0704958170219652,8,5,0.01973695416683875
LEO-USD,2025-09,4h,-0.016947013834687823,0,0,0.015
LINK-USD,2025-09,4h,-0.2804988406668417,12,8,0.024613316856727574
XLM-USD,2025-09,4h,0.14397203318632817,10,3,0.023672336056949152
XAUt-USD,2025-09,4h,0.40045178740425397,2,0,0.015
BGB-USD,2025-09,4h,0.14920062627037622,12,4,0.02382525963936487
PAXG-USD,2025-09,4h,0.402747346354372,2,0,0.015
AAVE-USD,2025-09,4h,-0.2997265996587521,6,6,0.0231502825070389
OKB-USD,2025-09,4h,0.12537271215285728,8,1,0.05361276490812836
ONDO-USD,2025-09,4h,-0.03648397114538966,11,5,0.02801479434374005
USDD-USD,2025-09,4h,-0.046900442077640034,1,0,0.015
BNB-USD,2025-10,4h,0.19238284914497855,18,4,0.0404422281195504
XRP-USD,2025-10,4h,-0.19043231683834164,12,4,0.047456447884509874
SOL-USD,2025-10,4h,-0.20818522991594363,10,4,0.04797520983099009
TRX-USD,2025-10,4h,-0.08241941772379506,3,6,0.019574744918000223
DOGE-USD,2025-10,4h,-0.17011855782086058,15,5,0.049991926841889404
BCH-USD,2025-10,4h,-0.08757423164730427,13,4,0.0399916191632033
LEO-USD,2025-10,4h,-0.13605593398853671,2,3,0.015
LINK-USD,2025-10,4h,-0.15891530440811039,13,4,0.05347625362050476
XLM-USD,2025-10,4h,-0.08966225722062518,19,6,0.04387191361834323
XAUt-USD,2025-10,4h,0.358797822075212,4,3,0.015
BGB-USD,2025-10,4h,-0.21658232220168427,6,2,0.05791983805927537
PAXG-USD,2025-10,4h,0.12281406208203406,4,5,0.015
AAVE-USD,2025-10,4h,-0.21514169776617564,13,4,0.05657857601192416
OKB-USD,2025-10,4h,-0.4526338523998857,8,4,0.056091662925848405
ONDO-USD,2025-10,4h,-0.1774829047140702,16,5,0.05063518106538086
USDD-USD,2025-10,4h,3.0390905703825413e-05,0,0,0.015
BNB-USD,2025-11,4h,-0.48496729363901975,7,9,0.017768140289141227
XRP-USD,2025-11,4h,-0.10410744355542194,11,8,0.023050746070181358
SOL-USD,2025-11,4h,-0.3193373727438484,11,9,0.026529748873150853
TRX-USD,2025-11,4h,-0.23241210896023404,1,3,0.015
DOGE-USD,2025-11,4h,-0.32888782200234346,14,9,0.024776504839714244
BCH-USD,2025-11,4h,-0.04049046230582462,14,7,0.026928117252659863
