ticker,month,timeframe,roi,tp_hits,sl_hits,cycles,avg_spacing
XRP-USD,2025-01,4h,3.961604886620698,28,0,28,2.4942169622589825
SOL-USD,2025-01,4h,1.8894472609577315,19,0,19,3.8560599654209304
TRX-USD,2025-01,4h,-3.599069182429885,18,1,19,1.7131190708779103
DOGE-USD,2025-01,4h,3.98611384876538,21,0,21,3.27965476980103
BCH-USD,2025-01,4h,3.258664983819217,17,0,17,2.8220896903681045
LEO-USD,2025-01,4h,1.6084168918260182,7,0,7,1.7220989285012696
LINK-USD,2025-01,4h,2.5404348719267547,27,0,27,4.549152684065301
XLM-USD,2025-01,4h,2.0835944973204095,22,0,22,4.339921725451436
XAUt-USD,2025-01,4h,0.1650048058754146,3,0,3,1.5
BGB-USD,2025-01,4h,4.683547249713137,20,0,20,2.220457732815196
PAXG-USD,2025-01,4h,0.09634285407713833,2,0,2,1.5
AAVE-USD,2025-01,4h,2.51596985654749,20,0,20,4.631159073876734
OKB-USD,2025-01,4h,4.439937468706266,15,0,15,1.9855623047577302
ONDO-USD,2025-01,4h,2.3931034805295712,30,0,30,5.415133942173524
USDD-USD,2025-01,4h,-0.0011201094739953987,0,0,0,1.5
BNB-USD,2025-02,4h,0.511533293552493,9,0,9,3.562091164178629
XRP-USD,2025-02,4h,1.5993399380574191,13,0,13,5.240826749702523
SOL-USD,2025-02,4h,0.234199631308511,4,0,4,5.601003003419313
TRX-USD,2025-02,4h,2.8772017604015128,8,0,8,2.5669644497514925
DOGE-USD,2025-02,4h,0.8633871101610566,5,0,5,5.591468558115487
BCH-USD,2025-02,4h,2.264252804247026,11,0,11,4.8007149921920025
LEO-USD,2025-02,4h,0.6034372975656334,2,0,2,2.4520334356702853
LINK-USD,2025-02,4h,0.5487205346565679,7,0,7,5.635404233905407
XLM-USD,2025-02,4h,1.5323623814402891,7,0,7,5.279086790406794
XAUt-USD,2025-02,4h,-0.008539685301111604,2,0,2,1.5
BGB-USD,2025-02,4h,1.5874925090076795,5,0,5,4.820248603611546
PAXG-USD,2025-02,4h,0.1337928725638085,3,0,3,1.5
AAVE-USD,2025-02,4h,0.06547159037731035,9,0,9,6.1165710942014435
OKB-USD,2025-02,4h,0.322118080975797,6,0,6,3.701190915318543
ONDO-USD,2025-02,4h,1.2864311110791278,9,0,9,5.768707942374092
USDD-USD,2025-02,4h,0.004139313166415377,0,0,0,1.5
SOL-USD,2025-03,4h,3.1922591606007513,16,0,16,3.1481025002017384
TRX-USD,2025-03,4h,2.8110164861736666,7,0,7,1.5
DOGE-USD,2025-03,4h,2.710665360817984,15,0,15,3.2947190864820777
BCH-USD,2025-03,4h,3.196973033510403,13,0,13,2.609936986293012
LEO-USD,2025-03,4h,-0.6267333229247015,2,0,2,1.5
LINK-USD,2025-03,4h,3.7377789769583614,14,0,14,3.0447039714584143
XLM-USD,2025-03,4h,4.287725543594425,22,0,22,2.6932091778441984
XAUt-USD,2025-03,4h,0.15496864037419072,4,0,4,1.5
BGB-USD,2025-03,4h,3.41958465117179,16,0,16,1.8476425361857611
PAXG-USD,2025-03,4h,0.16196778885230742,4,0,4,1.5
AAVE-USD,2025-03,4h,2.921428549068987,11,0,11,3.8266591536142496
OKB-USD,2025-03,4h,-4.0140532116959005,19,1,20,1.5
ONDO-USD,2025-03,4h,-12.049800129760406,19,1,20,3.340973473244614
USDD-USD,2025-03,4h,-0.0011087638017124846,0,0,0,1.5
BNB-USD,2025-04,4h,2.1637503643658786,5,0,5,1.5
XRP-USD,2025-04,4h,3.6543502774731493,17,0,17,2.477183187097819
SOL-USD,2025-04,4h,3.6069419220434975,24,0,24,2.864961965833266
TRX-USD,2025-04,4h,1.7135034542003995,7,0,7,1.5
DOGE-USD,2025-04,4h,3.6707293687768288,23,0,23,2.97456556707886
BCH-USD,2025-04,4h,2.2938627630418886,17,0,17,3.1048594754541208
LEO-USD,2025-04,4h,0.8603867562855885,5,0,5,1.5
LINK-USD,2025-04,4h,2.8713388089316503,24,0,24,3.1470926808389246
XLM-USD,2025-04,4h,3.816259553344717,23,0,23,2.309648137661606
XAUt-USD,2025-04,4h,-0.0452431634869572,5,0,5,1.5
BGB-USD,2025-04,4h,-3.4160458426743756,12,1,13,1.5
